SKU,GLOSSY WHITE,SLICED OAK SHAKER,BLACK WALNUT,WEATHERED OAK SHAKER,GLOSSY GREY,NATURAL OAK,WHITE OAK,MATTE WHITE,MATTE GREY,MATTE BLUE,GLOSSY BLACK,SLICED OAK,WEATHERED OAK
*W1540,634.45,,,,634.45,,,634.45,634.45,634.45,634.45,,
*W1840,719.76,,,,719.76,,,719.76,719.76,719.76,719.76,,
*W2140,805.38,,,,805.38,,,805.38,805.38,805.38,805.38,,
*W2418,,,,,,351.27,351.27,,,,,,
*W2440,916.3,,,,916.3,749.32,749.32,916.3,916.3,916.3,916.3,,
*W2445,1547.62,,,,1547.62,,,1547.62,1547.62,1547.62,1547.62,,
*W2718,,,,,,375.08,375.08,,,,,,
*W2724,644.93,,,,644.93,,,644.93,644.93,644.93,644.93,,
*W2740,1001.88,,,,1001.88,,,1001.88,1001.88,1001.88,1001.88,,
*W2745,1200.3,,,,1200.3,,,1200.3,1200.3,1200.3,1200.3,,
*W3018,,,,,,398.89,398.89,,,,,,
*W3022,644.93,,,,644.93,,,644.93,644.93,644.93,644.93,,
*W3340,1172.85,,,,1172.85,,,1172.85,1172.85,1172.85,1172.85,,
*W3045,1285.84,,,,1285.84,,,1285.84,1285.84,1285.84,1285.84,,
*W3318,,,,,,438.57,438.57,,,,,,
*W3321,617.56,,,,617.56,,,617.56,617.56,617.56,617.56,,
*W3324,746.37,,,,746.37,,,746.37,746.37,746.37,746.37,,
*W3618,,,,,,455.95,455.95,,,,,,
*W3627,929.56,,,,929.56,,,929.56,929.56,929.56,929.56,,
*W3633,1057.2,,,,1057.2,,,1057.2,1057.2,1057.2,1057.2,,
*W3640,1258.48,,,,1258.48,1007.2,1007.2,1258.48,1258.48,1258.48,1258.48,,
*W3936,1215.93,,,,1215.93,,,1215.93,1215.93,1215.93,1215.93,,
*W3945,1603.17,,,,1603.17,,,1603.17,1603.17,1603.17,1603.17,,
*W4218,,,,,,594.05,594.05,,,,,,
*W4230,1214.96,,,,1214.96,,,1214.96,1214.96,1214.96,1214.96,,
*W4518,,,,,,670.63,670.63,,,,,,
*W4845,1984.13,,,,1984.13,,,1984.13,1984.13,1984.13,1984.13,,
*W4836,1535.96,,,,1535.96,,,1535.96,1535.96,1535.96,1535.96,,
*W243010,,,,,,554.53,554.53,,,,,,
*W271824,677.54,,,,677.54,,,677.54,677.54,677.54,677.54,,
*W331224,644.2,,,,644.2,,,644.2,644.2,644.2,644.2,,
*W331824,777.15,,,,777.15,,,777.15,777.15,777.15,777.15,,
*W332424,1054.79,,,,1054.79,,,1054.79,1054.79,1054.79,1054.79,,
*W392424,1332.56,,,,1332.56,,,1332.56,1332.56,1332.56,1332.56,,
*VDB09,1047.32,,,,1047.32,869.16,869.16,1047.32,1047.32,1047.32,1047.32,,
*VB12,747.46,,,,747.46,,,747.46,747.46,747.46,747.46,,
*VB15,828.24,,,,828.24,,,828.24,828.24,828.24,828.24,,
*VB18,908.81,,,,908.81,,,908.81,908.81,908.81,908.81,,
*VB24,1087.53,,,,1087.53,,,1087.53,1087.53,1087.53,1087.53,,
*VB30,1254.44,,,,1254.44,,,1254.44,1254.44,1254.44,1254.44,,
*VSB21,716.42,,,,716.42,,,716.42,716.42,716.42,716.42,,
*VSB33,928.85,,,,928.85,793.65,,928.85,928.85,928.85,928.85,,
*VSB42,,,,,,887.19,887.19,,,,,,
*VSB48,,,,,,1195.03,1195.03,,,,,,
*FVSB3323,1335.06,,,,1335.06,,,1335.06,1335.06,1335.06,1335.06,,
*FVSB3823,1534.72,,,,1534.72,829.39,829.39,1534.72,1534.72,1534.72,1534.72,,
*FVSB4218,1869.94,,,,1869.94,,,1869.94,1869.94,1869.94,1869.94,,
*FVSB4618,1966.15,,,,1966.15,,,1966.15,1966.15,1966.15,1966.15,,
*FVSB5423,2341.98,,,,2341.98,,,2341.98,2341.98,2341.98,2341.98,,
*FVSB6817,1857.69,,,,1857.69,1423.83,1423.83,1857.69,1857.69,1857.69,1857.69,,
*FVSB7018,1857.69,,,,1857.69,1500.04,1500.04,1857.69,1857.69,1857.69,1857.69,,
*FVSB8520,3001.22,,,,3001.22,,,3001.22,3001.22,3001.22,3001.22,,
*B09,707.78,,,,707.78,,,707.78,707.78,707.78,707.78,,
*B42,1693.45,,,1638.71,1693.45,,,1693.45,1693.45,1693.45,1693.45,,
*B39,1574.4,,,,1574.4,,,1574.4,1574.4,1574.4,1574.4,,
*B48,1931.54,,,,1931.54,1937.25,1937.25,1931.54,1931.54,1931.54,1931.54,,
*BTC15,1358.5,,,,1358.5,,,1358.5,1358.5,1358.5,1358.5,,
*BTC21,1941.97,,,,1941.97,,,1941.97,1941.97,1941.97,1941.97,,
*BTC24,,,,,,1762.28,1762.28,,,,,,
*SB24,1087.53,,,,1087.53,,,1087.53,1087.53,1087.53,1087.53,,
*BMC21,1286.07,,,,1286.07,,,1286.07,1286.07,1286.07,1286.07,,
*BMC30,1286.07,,,,1286.07,1169.06,,1286.07,1286.07,1286.07,1286.07,,
*BMC36,1671.88,,,,1671.88,,,1671.88,1671.88,1671.88,1671.88,,
*PC1284,,,,,,1349.21,,,,,,,
*PC1294,1621.95,,,,1621.95,,,1621.95,1621.95,1621.95,1621.95,,
*PC1296,,,,,,1428.57,,,,,,,
*PC1594,1780.68,,,,1780.68,,,1780.68,1780.68,1780.68,1780.68,,
*PC1892,1967.17,,,,1967.17,,,1967.17,1967.17,1967.17,1967.17,,
*PC1894,1967.17,,,,1967.17,,,1967.17,1967.17,1967.17,1967.17,,
*PC2194,2222.8,,,,2222.8,,,2222.8,2222.8,2222.8,2222.8,,
*PC2494,2381.53,,,,2381.53,,,2381.53,2381.53,2381.53,2381.53,,
*PC3390,3111.04,,,,3111.04,,,3111.04,3111.04,3111.04,3111.04,,
*LINEN159021,1780.68,,,,1780.68,,,1780.68,1780.68,1780.68,1780.68,,
*LINEN1884,1781.21,,,,1781.21,1543.25,1543.25,1781.21,1781.21,1781.21,1781.21,,
*LINEN188424,1781.21,,,,1781.21,1543.27,1543.27,1781.21,1781.21,1781.21,1781.21,,
*LINEN189021,1967.17,,,,1967.17,,,1967.17,1967.17,1967.17,1967.17,,
*LINEN189024,,,,,,1619.36,1619.36,,,,,,
*LINEN489015,2488.2,,,,2488.2,,,2488.2,2488.2,2488.2,2488.2,,
DWR3,311.54,,212.635,,311.54,155.25,155.25,311.54,311.54,311.54,311.54,155.25,155.25
REF9624,598.35,,355.005,,598.35,298.54,298.54,598.35,598.35,598.35,598.35,259.095,259.095
REF9636,793.96,,532.565,,793.96,447.695,447.695,793.96,793.96,793.96,793.96,388.585,388.585
TEP9634,770.5,,503.01000000000005,,770.5,422.855,422.855,770.5,770.5,770.5,770.5,366.965,366.965
IP9648,626.64,,345.0,,626.64,253.0,253.0,626.64,626.64,626.64,626.64,253.0,253.0
WEP1330,158.01,,107.87,,158.01,78.77499999999999,78.77499999999999,158.01,158.01,158.01,158.01,78.77499999999999,78.77499999999999
WEP1336,165.6,,113.045,,165.6,82.455,82.455,165.6,165.6,165.6,165.6,82.455,82.455
WEP1342,207.23,,141.45000000000002,,207.23,103.27000000000001,103.27000000000001,207.23,207.23,207.23,207.23,103.27000000000001,103.27000000000001
MWEP1330,,,,,,,,,,,,110.39999999999999,110.39999999999999
MWEP1336,,,,,,,,,,,,132.48,132.48
MWEP1342,,,,,,,,,,,,154.56,154.56
VEP21,250.93,,171.35,,250.93,125.005,125.005,250.93,250.93,250.93,250.93,144.785,144.785
BEP24,285.55,,194.92499999999998,,285.55,142.255,142.255,285.55,285.55,285.55,285.55,142.255,142.255
BEP26,297.16,,202.86,,297.16,148.005,148.005,297.16,297.16,297.16,297.16,148.005,148.005
MBEP21-D,,,,,,,,,,,,202.17,202.17
MBEP24-D,,,,,,,,,,,,231.035,231.035
MBEP26-D,,,,,,,,,,,,250.24,250.24
TK8,90.97,,62.1,,90.97,45.31,45.31,90.97,90.97,90.97,90.97,45.31,45.31
